Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
629,465.46,90.161,6.565,3,44
630,466.2,90.161,6.051,3,32
631,466.94,90.161,6.232,3,25
632,467.68,90.161,6.028,3,39
633,468.42,90.161,7.102,3,33
634,469.16,90.161,7.599,3,48
635,469.9,90.161,8.243,3,55
636,470.64,90.161,6.751,3,38
637,471.38,90.161,6.294,3,32
638,472.12,90.161,7.689,3,40
639,472.86,90.161,7.424,3,55
640,473.6,90.161,7.124,3,31
641,474.34,90.161,6.667,3,35
642,475.08,90.161,6.384,3,27
643,475.82,90.161,7.797,4,40
644,476.56,90.161,7.153,3,51
645,477.3,90.161,7.113,3,40
646,478.04,90.161,6.644,3,41
647,478.78,90.161,6.751,3,35
648,479.52,90.161,6.921,3,26
649,480.26,90.161,7.226,3,31
650,481,90.161,5.927,3,33
651,481.74,90.161,7.328,3,37
652,482.48,90.161,7.266,3,32
653,483.22,90.161,7.492,3,46
654,483.96,90.161,8.565,3,38
655,484.7,90.161,8.576,3,39
656,485.44,90.161,7.379,3,39
657,486.18,90.161,7.588,3,40
658,486.92,90.161,6.904,3,46
659,487.66,90.161,6.616,3,38
660,488.4,90.161,6.237,3,56
661,489.14,90.161,6.565,3,49
662,489.88,90.161,6.384,3,47
663,490.62,90.161,6.068,3,24
664,491.36,90.161,6.78,3,31
665,492.1,90.161,6.395,3,37
666,492.84,90.161,6.203,3,30
667,493.58,90.161,6.22,3,28
668,494.32,90.161,6.508,3,54
669,495.06,90.161,8.605,3,66
670,495.8,90.161,8.791,4,43
671,496.54,90.161,7.215,3,39
672,497.28,90.161,6.644,3,31
673,498.02,90.161,5.994,3,28
674,498.76,90.161,6.147,3,27
675,499.5,90.161,5.678,3,26
676,500.24,90.161,6.876,3,35
677,500.98,90.161,7.107,3,35
678,501.72,90.161,6.418,3,37
679,502.46,90.161,6.435,3,30
680,503.2,90.161,6.977,3,31
681,503.94,90.161,6.853,3,35
682,504.68,90.161,6.542,3,31
683,505.42,90.161,6.706,3,32
684,506.16,90.161,6.096,3,34
685,506.9,90.161,6.898,3,44
686,507.64,90.161,7.181,3,36
687,508.38,90.161,8.554,4,52
688,509.12,90.161,8.627,3,53
689,509.86,90.161,7.588,3,46
690,510.6,90.161,7,3,39
691,511.34,90.161,7.045,3,36
692,512.08,90.161,7.893,3,41
693,512.82,90.161,7.282,3,32
694,513.56,90.161,7.655,3,44
695,514.3,90.161,8.181,3,29
696,515.04,90.161,7.068,3,35
697,515.78,90.161,6.989,3,31
698,516.52,90.161,7.395,3,30
699,517.26,90.161,8.232,3,36
700,518,90.161,10.367,3,58
701,518.74,90.161,8.429,3,41
702,519.48,90.161,7.028,3,37
703,520.22,90.161,6.921,3,38
704,520.96,90.161,7.672,3,52
705,521.7,90.161,6.621,4,31
706,522.44,90.161,6.881,3,34
707,523.18,90.161,7.175,3,48
708,523.92,90.161,7.271,3,29
709,524.66,90.161,7.113,3,55
710,525.4,90.161,7.35,3,33
711,526.14,90.161,7.045,3,43
712,526.88,90.161,7.802,3,31
713,527.62,90.161,9.689,4,54
714,528.36,90.161,8.169,4,58
715,529.1,90.161,7.39,3,54
716,529.84,90.161,8.232,3,57
717,530.58,90.161,7.508,4,34
718,531.32,90.161,7.051,3,68
719,532.06,90.161,7.757,3,56
720,532.8,90.161,8.571,3,126
721,533.54,90.161,7.644,3,45
722,534.28,90.161,9.192,3,48
723,535.02,90.161,8.633,4,53
724,535.76,90.161,8.209,3,36
725,536.5,90.161,7.469,3,34
726,537.24,90.161,7.35,3,46
727,537.98,90.161,7.22,3,37
728,538.72,90.161,8.079,3,62
729,539.46,90.161,7.763,3,38
730,540.2,90.161,7.966,3,51
731,540.94,90.161,9.153,3,57
732,541.68,90.161,10.254,3,43
733,542.42,90.161,9.249,3,61
734,543.16,90.161,8.689,3,67
735,543.9,90.161,8.39,3,45
736,544.64,90.161,7.678,3,42
737,545.38,90.161,8.949,3,38
738,546.12,90.161,7.667,3,35
739,546.86,90.161,7.582,3,29
740,547.6,90.161,8.384,3,33
741,548.34,90.161,8.746,3,45
742,549.08,90.161,10.503,3,38
743,549.82,90.161,9.345,4,49
744,550.56,90.161,9.147,3,48
745,551.3,90.161,8.757,4,42
746,552.04,90.161,7.588,2,45
747,552.78,90.161,7.61,3,36
748,553.52,90.161,7.74,3,40
749,554.26,90.161,8.288,3,39
750,555,90.161,7.282,3,42
751,555.74,90.161,7.186,3,42
752,556.48,90.161,7.706,3,36
753,557.22,90.161,9.802,3,69
754,557.96,90.161,8.452,3,54
755,558.7,90.161,7.328,3,39
756,559.44,90.161,7.232,3,35
757,560.18,90.161,7.763,3,37
758,560.92,90.161,7.26,3,43
759,561.66,90.161,8.124,3,52
760,562.4,90.161,7.633,3,44
761,563.14,90.161,7.492,3,53
762,563.88,90.161,7.582,3,29
763,564.62,90.161,7.006,3,32
764,565.36,90.161,7.328,3,34
765,566.1,90.161,7.706,3,30
766,566.84,90.161,7.582,3,41
767,567.58,90.161,9.339,3,39
768,568.32,90.161,9.593,3,50
769,569.06,90.161,8.181,3,46
770,569.8,90.161,9.232,3,47
